time_published,confidence,sentiment_score
2026-02-27,0.71052,0.037112
2026-02-27,0.720029,0.321267
2026-02-27,0.824427,0.012737
2026-02-27,0.620399,0.335365
2026-02-27,0.304113,0.003611
2026-02-27,0.628856,0.306867
2026-02-27,0.5591,0.31934
2026-02-27,0.595724,0.148045
2026-02-27,0.613961,0.221178
2026-02-27,1.0,0.09616
2026-02-27,0.703336,0.223664
2026-02-27,0.932416,0.109531
2026-02-27,1.0,0.139643
2026-02-27,0.318508,0.013363
2026-02-27,0.731617,0.126071
2026-02-27,1.0,-0.419372
2026-02-27,0.713455,0.124867
2026-02-27,1.0,0.417365
2026-02-27,1.0,0.253938
2026-02-27,0.621283,0.34628
2026-02-27,0.706723,0.314542
2026-02-27,0.610628,0.13365
2026-02-27,0.644215,0.311016
2026-02-27,0.649485,0.145631
2026-02-27,0.565141,0.085631
2026-02-27,1.0,0.040735
2026-02-27,0.708328,0.039427
2026-02-27,0.760497,0.05317
2026-02-27,1.0,0.01359
2026-02-27,0.712782,0.147421
2026-02-27,0.708025,0.323915
2026-02-27,0.613694,0.319913
2026-02-27,0.602181,0.314216
2026-02-26,1.0,0.009547
2026-02-26,0.702311,0.123594
2026-02-26,0.721438,0.336216
2026-02-26,0.71417,-0.253292
2026-02-26,0.99368,0.380279
2026-02-26,0.781089,-0.115709
2026-02-26,1.0,0.334345
2026-02-26,0.640601,-0.113576
2026-02-26,0.993352,0.327095
2026-02-26,0.724326,-0.111341
2026-02-26,0.705487,0.133173
2026-02-26,1.0,0.27029
2026-02-26,0.999879,0.295096
2026-02-26,0.798184,0.420458
2026-02-26,0.710746,0.307139
2026-02-26,0.680268,0.132676
2026-02-26,0.981537,0.266798
2026-02-26,0.580972,0.337011
2026-02-26,0.605847,0.136394
2026-02-26,1.0,0.428604
2026-02-26,0.572499,0.109722
2026-02-26,0.965857,0.321908
2026-02-26,0.619058,0.265925
2026-02-26,0.903726,0.334162
2026-02-26,0.587148,0.124761
2026-02-26,1.0,0.447373
2026-02-26,0.618682,0.232142
2026-02-26,0.745495,0.349811
2026-02-26,0.634961,0.149326
2026-02-26,0.623372,0.264141
2026-02-26,1.0,0.291065
2026-02-25,0.722452,0.212983
2026-02-25,1.0,0.314119
2026-02-25,0.600997,0.263589
2026-02-25,0.907572,0.200833
2026-02-25,0.724698,0.130949
2026-02-25,0.643841,-0.403385
2026-02-25,0.718794,0.139379
2026-02-25,0.98076,0.496021
2026-02-25,1.0,-0.099431
2026-02-25,0.966053,0.084193
2026-02-25,0.587933,0.123985
2026-02-25,1.0,0.427079
2026-02-25,0.721442,0.203713
2026-02-25,1.0,-0.323014
2026-02-25,0.627568,0.237579
2026-02-25,1.0,0.312093
2026-02-25,0.754926,0.147304
2026-02-25,0.524154,0.022618
2026-02-25,1.0,0.300986
2026-02-25,0.687256,0.323329
2026-02-25,0.563721,-0.179953
2026-02-25,1.0,0.186462
2026-02-25,0.565195,0.148658
2026-02-25,0.591749,-0.069841
2026-02-24,1.0,0.334529
2026-02-24,0.643953,0.317888
2026-02-24,1.0,0.448393
2026-02-24,0.617286,0.126704
2026-02-24,0.736788,0.312413
2026-02-24,1.0,0.496077
2026-02-24,0.949053,0.142555
2026-02-24,0.948588,0.122239
2026-02-24,0.620115,0.113116
2026-02-24,0.715402,-0.22583
2026-02-24,0.627324,0.001017
2026-02-24,1.0,0.088101
2026-02-24,1.0,0.830011
2026-02-24,0.896751,-0.071467
2026-02-24,0.703253,0.242969
2026-02-24,1.0,0.306824
2026-02-24,1.0,0.421363
2026-02-24,1.0,0.441289
2026-02-24,1.0,0.136653
2026-02-24,0.720029,-0.22267
2026-02-24,1.0,0.241229
2026-02-24,0.996134,-0.344186
2026-02-24,0.609197,0.30094
2026-02-24,0.997353,0.347335
2026-02-24,1.0,0.403242
2026-02-24,1.0,0.434455
2026-02-24,0.956126,0.475019
2026-02-24,0.658673,0.319115
2026-02-24,0.978248,0.323968
2026-02-24,1.0,0.327958
2026-02-24,0.979964,0.34485
2026-02-23,0.722596,0.141385
2026-02-23,0.603205,0.308408
2026-02-23,0.644162,0.113347
2026-02-23,1.0,0.478547
2026-02-23,0.606355,-0.129441
2026-02-23,0.636841,0.127211
2026-02-23,1.0,-0.224853
2026-02-23,0.95089,0.335346
2026-02-23,0.737884,0.131826
2026-02-23,0.625711,0.311252
2026-02-23,0.638226,0.142949
2026-02-23,0.640987,0.201761
2026-02-23,0.752193,0.496046
2026-02-23,1.0,0.313821
2026-02-23,0.743579,0.308368
2026-02-23,0.348091,0.049458
2026-02-23,1.0,0.347689
2026-02-23,0.619466,0.120285
2026-02-23,0.719607,0.229217
2026-02-23,0.614169,0.301067
2026-02-23,0.627823,0.238235
2026-02-23,1.0,0.249755
2026-02-23,0.638691,-0.106763
